Eichner,Legrand,Default
4.169574,0.712234,1.144114
4.274187,0.746138,1.187305
4.445664,0.803302,1.259239
4.488266,0.817809,1.277326
4.717898,0.89809,1.37628
4.726689,0.901232,1.380117
4.75891,0.912796,1.394209
4.766698,0.915602,1.397623
4.769339,0.916554,1.39878
4.812817,0.932297,1.417892
4.871004,0.953562,1.443603
4.876979,0.955758,1.446252
4.897995,0.963502,1.455581
4.91163,0.968542,1.461645
4.924693,0.973382,1.467462
4.934496,0.977021,1.471832
4.935589,0.977427,1.472319
4.98579,0.996168,1.49477
5.029768,1.012722,1.514529
5.106632,1.04196,1.54927
5.149076,1.058272,1.568566
5.151745,1.059302,1.569782
5.165062,1.064446,1.575853
5.174361,1.068046,1.580098
5.209706,1.081778,1.596265
5.219802,1.085716,1.600894
5.220625,1.086037,1.601271
5.244512,1.095381,1.61224
5.248734,1.097037,1.614181
5.27467,1.107232,1.626123
5.280071,1.109361,1.628614
5.28589,1.111656,1.631299
5.296911,1.11601,1.636387
5.301675,1.117894,1.638589
5.313777,1.122688,1.644185
5.347774,1.136206,1.65994
5.349277,1.136805,1.660638
5.354327,1.13882,1.662983
5.360141,1.141142,1.665684
5.397387,1.156068,1.683022
5.438795,1.172769,1.702367
5.479545,1.189313,1.721476
5.488574,1.192993,1.725719
5.490295,1.193696,1.726528
5.517648,1.204881,1.739407
5.524227,1.207578,1.742509
5.528055,1.209149,1.744315
5.536249,1.212515,1.748183
5.564335,1.224085,1.761462
5.572609,1.227503,1.76538
5.577284,1.229436,1.767595
5.585462,1.232821,1.771472
5.629641,1.251184,1.792466
5.656157,1.262267,1.805106
5.666775,1.266718,1.810176
5.675155,1.270235,1.81418
5.68972,1.27636,1.821147
5.69037,1.276634,1.821458
5.691276,1.277015,1.821892
5.695263,1.278694,1.823801
5.698794,1.280183,1.825492
5.700737,1.281002,1.826423
5.705552,1.283033,1.82873
5.727371,1.292257,1.839198
5.727795,1.292436,1.839401
5.738005,1.296763,1.844307
5.738437,1.296946,1.844514
5.749427,1.301612,1.849799
5.769391,1.310106,1.859413
5.775937,1.312897,1.862568
5.784101,1.316382,1.866507
5.790777,1.319235,1.869729
5.795059,1.321066,1.871797
5.802231,1.324136,1.875262
5.803232,1.324565,1.875746
5.824047,1.333495,1.885816
5.832136,1.336973,1.889734
5.837427,1.33925,1.892298
5.841109,1.340836,1.894083
5.842551,1.341457,1.894782
5.865447,1.35134,1.905897
5.870749,1.353633,1.908474
5.886784,1.36058,1.916274
5.891073,1.362441,1.918362
5.967958,1.396002,1.955923
5.968615,1.39629,1.956244
5.97599,1.39953,1.95986
5.976813,1.399891,1.960264
5.986252,1.404043,1.964895
5.988629,1.40509,1.966062
6.005605,1.412574,1.974402
6.014775,1.416624,1.978912
6.022426,1.420008,1.982677
6.028584,1.422734,1.98571
6.028769,1.422816,1.985801
6.033727,1.425013,1.988243
6.034879,1.425523,1.988811
6.035546,1.425819,1.98914
6.068125,1.440297,2.005218
6.071536,1.441816,2.006903
6.072123,1.442078,2.007193
6.086329,1.448416,2.01422
6.105367,1.45693,2.023648
6.106211,1.457309,2.024067
6.119996,1.463489,2.030904
6.14017,1.472555,2.040923
6.141199,1.473018,2.041434
6.168885,1.485505,2.055212
6.181566,1.491242,2.061533
6.185376,1.492967,2.063433
6.189921,1.495026,2.065701
6.190753,1.495404,2.066117
6.197252,1.498351,2.069361
6.214767,1.506308,2.078113
6.223721,1.510383,2.082591
6.229515,1.513023,2.085492
6.237154,1.516507,2.089317
6.238432,1.51709,2.089957
6.250616,1.522656,2.096064
6.254239,1.524312,2.097881
6.259158,1.526563,2.100349
6.26797,1.530599,2.104772
6.288122,1.539847,2.114899
6.291992,1.541626,2.116846
6.293814,1.542464,2.117763
6.313305,1.55144,2.127578
6.313763,1.551652,2.127809
6.327462,1.557976,2.134716
6.343216,1.565263,2.142669
6.354631,1.570554,2.148438
6.359209,1.572678,2.150753
6.360034,1.573061,2.15117
6.361584,1.57378,2.151954
6.363237,1.574548,2.15279
6.366168,1.575909,2.154273
6.372722,1.578955,2.15759
6.37659,1.580755,2.159549
6.378451,1.58162,2.160491
6.379598,1.582154,2.161072
6.397347,1.590425,2.170069
6.406224,1.594569,2.174574
6.413361,1.597905,2.178198
6.431407,1.606353,2.187369
6.431609,1.606447,2.187472
6.454065,1.61699,2.198903
6.458968,1.619296,2.201402
6.461893,1.620673,2.202893
6.463012,1.621199,2.203463
6.46751,1.623317,2.205757
6.468767,1.623909,2.206398
6.471108,1.625012,2.207592
6.49136,1.634569,2.217931
6.492898,1.635296,2.218717
6.505677,1.641342,2.225251
6.511902,1.64429,2.228435
6.520023,1.648141,2.232592
6.533827,1.654695,2.239664
6.536208,1.655827,2.240885
6.54789,1.661386,2.246877
6.553453,1.664035,2.249732
6.561495,1.667869,2.253861
6.569866,1.671865,2.258163
6.601402,1.686957,2.274391
6.603279,1.687858,2.275358
6.614093,1.693049,2.280932
6.622987,1.697324,2.285521
6.623456,1.69755,2.285763
6.632381,1.701844,2.29037
6.63738,1.704253,2.292952
6.646188,1.708499,2.297504
6.652424,1.711509,2.300728
6.660116,1.715225,2.304707
6.661538,1.715912,2.305443
6.684345,1.726954,2.317257
6.690634,1.730004,2.320518
6.704461,1.73672,2.327693
6.706851,1.737882,2.328934
6.71012,1.739472,2.330631
6.71629,1.742475,2.333837
6.716412,1.742535,2.3339
6.726403,1.747402,2.339094
6.736565,1.752359,2.34438
6.743792,1.75589,2.348142
6.750386,1.759113,2.351576
6.760188,1.76391,2.356684
6.760422,1.764024,2.356806
6.769733,1.768586,2.361662
6.779441,1.773349,2.366728
6.782918,1.775056,2.368544
6.786047,1.776593,2.370178
6.795557,1.781268,2.375146
6.800534,1.783718,2.377748
6.801073,1.783983,2.37803
6.801709,1.784296,2.378363
6.801987,1.784433,2.378508
6.810653,1.788702,2.383041
6.817402,1.79203,2.386573
6.820511,1.793564,2.388201
6.820515,1.793566,2.388203
6.82161,1.794106,2.388776
6.836744,1.801583,2.396705
6.83839,1.802397,2.397568
6.850518,1.808401,2.403929
6.864197,1.815183,2.411111
6.865856,1.816007,2.411983
6.865976,1.816067,2.412046
6.866576,1.816364,2.412361
6.871753,1.818935,2.415081
6.883472,1.824761,2.421243
6.891758,1.828885,2.425603
6.897224,1.831608,2.42848
6.906382,1.836175,2.433303
6.910885,1.838423,2.435676
6.912711,1.839334,2.436639
6.924334,1.845143,2.442768
6.92471,1.84533,2.442966
6.925268,1.845609,2.443261
6.929689,1.847821,2.445594
6.931471,1.848713,2.446534
6.937545,1.851754,2.44974
6.938877,1.852422,2.450444
6.941406,1.853689,2.45178
6.941694,1.853833,2.451932
6.942169,1.854072,2.452183
6.943377,1.854677,2.452821
6.956258,1.861139,2.459628
6.962124,1.864086,2.46273
6.967841,1.866959,2.465755
6.973211,1.869661,2.468598
6.97832,1.872232,2.471302
6.981123,1.873644,2.472787
6.983468,1.874825,2.474029
6.987235,1.876723,2.476025
6.987428,1.876821,2.476128
6.988426,1.877324,2.476657
6.989404,1.877817,2.477175
6.990465,1.878352,2.477737
6.998625,1.882469,2.482063
6.999039,1.882678,2.482283
6.999424,1.882872,2.482487
6.999736,1.88303,2.482653
7.003954,1.88516,2.48489
7.00584,1.886112,2.485891
7.011038,1.88874,2.48865
7.015131,1.890809,2.490822
7.015794,1.891145,2.491174
7.016015,1.891256,2.491292
7.016176,1.891338,2.491377
7.018093,1.892308,2.492395
7.019676,1.893109,2.493236
7.02026,1.893404,2.493546
7.022818,1.8947,2.494905
7.029747,1.898209,2.498587
7.033094,1.899906,2.500366
7.033377,1.900049,2.500517
7.034199,1.900466,2.500953
7.043178,1.905021,2.505729
7.046935,1.906929,2.507728
7.052262,1.909635,2.510563
7.052354,1.909682,2.510612
7.056661,1.911871,2.512905
7.058561,1.912837,2.513917
7.059919,1.913528,2.514641
7.062368,1.914774,2.515945
7.073726,1.920557,2.521998
7.080433,1.923975,2.525575
7.097375,1.932624,2.534617
7.097483,1.93268,2.534675
7.106893,1.937491,2.539702
7.111287,1.93974,2.54205
7.112531,1.940377,2.542715
7.115763,1.942032,2.544443
7.116095,1.942202,2.544621
7.118387,1.943376,2.545846
7.120507,1.944462,2.54698
7.121907,1.94518,2.547729
7.122494,1.945481,2.548043
7.127332,1.947961,2.550632
7.135928,1.952373,2.555233
7.137835,1.953352,2.556255
7.139606,1.954262,2.557203
7.141321,1.955142,2.558121
7.148315,1.958738,2.561869
7.149782,1.959492,2.562655
7.16488,1.967265,2.570752
7.164889,1.967269,2.570756
7.164937,1.967294,2.570782
7.165484,1.967576,2.571076
7.172462,1.971173,2.574821
7.175371,1.972674,2.576383
7.175909,1.972951,2.576671
7.184275,1.977271,2.581165
7.184519,1.977396,2.581296
7.184978,1.977633,2.581542
7.187537,1.978956,2.582918
7.189045,1.979735,2.583728
7.191362,1.980933,2.584974
7.198772,1.984765,2.588957
7.202074,1.986474,2.590733
7.203332,1.987125,2.59141
7.203964,1.987452,2.59175
7.217041,1.994228,2.598789
7.222582,1.997102,2.601773
7.233781,2.002918,2.607808
7.237775,2.004993,2.609961
7.254,2.013437,2.618716
7.261447,2.017318,2.622737
7.266818,2.020119,2.625638
7.27077,2.022181,2.627774
7.274928,2.024352,2.630021
7.275699,2.024755,2.630438
7.275744,2.024778,2.630463
7.279366,2.02667,2.632421
7.281712,2.027896,2.633689
7.28568,2.02997,2.635836
7.288234,2.031306,2.637218
7.289553,2.031996,2.637931
7.295459,2.035087,2.641128
7.297959,2.036395,2.642482
